Instance	Solver	Reward	CPU_s	Customers	Gap_pct
pr01	greedy	69.0	0.00	4	77.60
pr01	rand_greedy	304.0	0.20	20	1.30
pr01	ils09	301.0	0.36	19	2.27
pr01	ils_rr	304.0	0.35	20	1.30
pr01	lns	292.0	0.05	21	5.19
pr01	grasp_vns	304.0	5.15	21	1.30
pr01	mcts	239.0	0.21	15	22.40
pr01	pulse	308.0	0.06	21	0.00
pr02	greedy	74.0	0.00	3	81.68
pr02	rand_greedy	374.0	0.42	19	7.43
pr02	ils09	376.0	0.44	20	6.93
pr02	ils_rr	376.0	0.37	20	6.93
pr02	lns	385.0	0.10	21	4.70
pr02	grasp_vns	402.0	12.12	23	0.50
pr02	mcts	295.0	0.36	17	26.98
pr02	pulse	404.0	0.70	24	0.00
pr03	greedy	242.0	0.00	11	38.58
pr03	rand_greedy	371.0	0.85	21	5.84
pr03	ils09	377.0	0.81	21	4.31
pr03	ils_rr	390.0	0.53	22	1.02
pr03	lns	390.0	0.30	22	1.02
pr03	grasp_vns	393.0	16.74	22	0.25
pr03	mcts	293.0	0.27	17	25.63
pr03	pulse	394.0	0.97	21	0.00
pr04	greedy	194.0	0.00	8	60.33
pr04	rand_greedy	429.0	1.23	23	12.27
pr04	ils09	454.0	1.04	23	7.16
pr04	ils_rr	436.0	1.16	22	10.84
pr04	lns	432.0	0.40	22	11.66
pr04	grasp_vns	469.0	31.43	26	4.09
pr04	mcts	329.0	0.32	18	32.72
pr04	pulse	489.0	1.82	24	0.00
pr05	greedy	220.0	0.00	9	63.03
pr05	rand_greedy	487.0	1.83	27	18.15
pr05	ils09	525.0	1.36	33	11.76
pr05	ils_rr	498.0	1.81	30	16.30
pr05	lns	551.0	0.44	31	7.39
pr05	grasp_vns	560.0	60.00	32	5.88
pr05	mcts	347.0	0.95	20	41.68
pr05	pulse	595.0	25.53	31	0.00
pr06	greedy	244.0	0.00	10	58.71
pr06	rand_greedy	455.0	2.66	23	23.01
pr06	ils09	508.0	2.36	27	14.04
pr06	ils_rr	508.0	2.28	27	14.04
pr06	lns	522.0	0.45	26	11.68
pr06	grasp_vns	578.0	60.11	30	2.20
pr06	mcts	402.0	0.62	24	31.98
pr06	pulse	591.0	27.41	30	0.00
pr07	greedy	185.0	0.00	8	37.92
pr07	rand_greedy	276.0	0.24	17	7.38
pr07	ils09	283.0	0.40	15	5.03
pr07	ils_rr	292.0	0.33	16	2.01
pr07	lns	274.0	0.04	16	8.05
pr07	grasp_vns	293.0	3.76	16	1.68
pr07	mcts	263.0	0.08	16	11.74
pr07	pulse	298.0	0.11	17	0.00
pr08	greedy	180.0	0.00	8	61.12
pr08	rand_greedy	430.0	0.57	22	7.13
pr08	ils09	445.0	0.77	24	3.89
pr08	ils_rr	453.0	0.91	24	2.16
pr08	lns	423.0	0.14	22	8.64
pr08	grasp_vns	458.0	19.49	24	1.08
pr08	mcts	379.0	0.28	20	18.14
pr08	pulse	463.0	0.68	25	0.00
pr09	greedy	101.0	0.00	5	79.51
pr09	rand_greedy	390.0	0.85	22	20.89
pr09	ils09	425.0	1.15	27	13.79
pr09	ils_rr	402.0	1.40	23	18.46
pr09	lns	438.0	0.33	26	11.16
pr09	grasp_vns	468.0	46.61	27	5.07
pr09	mcts	324.0	0.72	20	34.28
pr09	pulse	493.0	33.87	29	0.00
pr10	greedy	123.0	0.00	5	79.29
pr10	rand_greedy	487.0	1.54	24	18.01
pr10	ils09	508.0	1.41	26	14.48
pr10	ils_rr	508.0	1.29	26	14.48
pr10	lns	526.0	0.67	27	11.45
pr10	grasp_vns	576.0	60.01	30	3.03
pr10	mcts	478.0	1.09	25	19.53
pr10	pulse	594.0	40.07	31	0.00
pr11	greedy	128.0	0.00	6	63.74
pr11	rand_greedy	323.0	0.22	18	8.50
pr11	ils09	330.0	0.26	21	6.52
pr11	ils_rr	330.0	0.21	21	6.52
pr11	lns	330.0	0.09	20	6.52
pr11	grasp_vns	343.0	3.55	22	2.83
pr11	mcts	256.0	0.07	17	27.48
pr11	pulse	353.0	7.49	22	0.00
pr12	greedy	106.0	0.00	5	75.35
pr12	rand_greedy	391.0	0.52	21	9.07
pr12	ils09	407.0	0.62	22	5.35
pr12	ils_rr	422.0	0.41	23	1.86
pr12	lns	426.0	0.27	23	0.93
pr12	grasp_vns	434.0	12.19	24	-0.93
pr12	mcts	293.0	0.29	17	31.86
pr12	pulse	430.0	83.30	23	0.00
pr13	greedy	150.0	0.00	6	67.88
pr13	rand_greedy	398.0	0.92	21	14.78
pr13	ils09	397.0	0.75	25	14.99
pr13	ils_rr	429.0	0.73	26	8.14
pr13	lns	435.0	0.37	24	6.85
pr13	grasp_vns	454.0	22.57	26	2.78
pr13	mcts	257.0	0.19	15	44.97
pr13	pulse	467.0	41.14	25	0.00
pr14	greedy	124.0	0.00	5	75.20
pr14	rand_greedy	458.0	1.23	25	8.40
pr14	ils09	495.0	1.76	30	1.00
pr14	ils_rr	495.0	0.96	30	1.00
pr14	lns	478.0	0.46	27	4.40
pr14	grasp_vns	537.0	44.09	31	-7.40
pr14	mcts	350.0	0.28	19	30.00
pr14	pulse	500.0	90.12	30	0.00
pr15	greedy	168.0	0.00	8	69.45
pr15	rand_greedy	526.0	1.71	30	4.36
pr15	ils09	552.0	1.99	30	-0.36
pr15	ils_rr	552.0	2.08	30	-0.36
pr15	lns	518.0	0.97	29	5.82
pr15	grasp_vns	636.0	60.03	35	-15.64
pr15	mcts	433.0	0.18	24	21.27
pr15	pulse	550.0	90.25	30	0.00
pr16	greedy	220.0	0.00	9	62.26
pr16	rand_greedy	495.0	2.16	26	15.09
pr16	ils09	575.0	2.00	32	1.37
pr16	ils_rr	508.0	1.91	30	12.86
